# ---------------------------------------------------------------------
# ■テーブル名
# 　　asset.tbl
# 
# ■説明
# 　・Cities:Skylines、Steamワークショップ上での名称とテーブルで使用する名称の紐づけを行う。
# 　・「udx\bldg」配下に配置されている建物のＧＭＬファイルをインポートする際に参照されるテーブル
# 　・以下の建物判定用テーブルで指定するアセットファイルを定義する
# 　　（detailedUsage.tbl　orgUsage2.tbl　orgUsage.tbl　usage.tbl　buildingID.tbl）
# 
# ■設定値
# 　1.key（string型）
# 　　・建物判定用テーブルで指定するKey値
# 　　・","(半角カンマ)、"#"(半角シャープ)、"/"(半角スラッシュ)は指定不可。
# 　　
# 　2.「アセット名」（string型）
# 　　・Cities:Skylines、Steamワークショップ上でのアセット名を指定する。（基本的には「アセットのID」+"."+「建物名称」+"_Data"の形式）
# 
# ■その他
# 　・先頭#の行はコメントとして扱われます。
# 　・各項目は半角カンマ区切りで指定します。
# 　・項目数が２以上の行が有効。項目３以降はスルーされます。
# ---------------------------------------------------------------------
# key, アセット名
#鉾田市用
鉾田市役所,2863115285.PlateauUC_鉾田市役所_Data
B778,H3_3x2_CommercialBlockhouse_Corner
B779,H3_3x3_CommercialBlockhouse
B780,H3_3x3_CommercialBlockhouse_Corner
B781,H3_3x4_CommercialBlockhouse
B782,H3_4x3_CommercialBlockhouse
B783,H3_4x4_CommercialBlockhouse
B784,H1_2x4_CommercialBlockhouse
B785,H1_1x1_Blockhouse
B786,H1_2x2_Blockhouse_Corner
B787,H1_2x3_Blockhouse
B788,H1_2x3_Blockhouse_Corner
B789,H1_2x4_Blockhouse
B790,H1_2x2_Blockhouse
B791,H1_3x2_Blockhouse
B792,H1_3x2_Blockhouse01
B793,H1_3x2_Blockhouse_Corner
B794,H1_3x3_Blockhouse
B795,H1_3x3_Blockhouse_Corner
B796,H1_3x4_Blockhouse
B797,H1_4x3_Blockhouse
B798,H1_4x4_Blockhouse
B799,H2_1x1_Blockhouse
B800,H2_2x2_Blockhouse
B801,H2_2x2_Blockhouse_Corner
B802,H2_2x3_Blockhouse
B803,H2_2x3_Blockhouse_Corner
B804,H2_2x4_Blockhouse
B805,H2_3x2_Blockhouse
B806,H2_3x2_Blockhouse01
B807,H2_3x2_Blockhouse_Corner
B808,H2_3x3_Blockhouse
B809,H2_3x3_Blockhouse_Corner
B810,H2_3x4_Blockhouse
B811,H2_4x3_Blockhouse
B812,H2_4x4_Blockhouse
B813,H3_1x1_Blockhouse
B814,H3_2x2_Blockhouse
B815,H3_2x2_Blockhouse_Corner
B816,H3_2x3_Blockhouse
B817,H3_2x3_Blockhouse_Corner
B818,H3_2x4_Blockhouse
B819,H3_3x2_Blockhouse
B820,H3_3x2_Blockhouse01
B821,H3_3x2_Blockhouse_Corner
B822,H3_3x3_Blockhouse
B823,H3_3x3_Blockhouse_Corner
B824,H3_3x4_Blockhouse
B825,H3_4x3_Blockhouse
B826,H3_4x4_Blockhouse
B827,H4_1x1_Blockhouse
B828,H4_2x2_Blockhouse
B829,H4_2x2_Blockhouse_Corner
B830,H4_2x3_Blockhouse
B831,H4_2x3_Blockhouse_Corner
B832,H4_2x4_Blockhouse
B833,H4_3x2_Blockhouse
B834,H4_3x2_Blockhouse01
B835,H4_3x2_Blockhouse_Corner
B836,H4_3x3_Blockhouse
B837,H4_3x3_Blockhouse_Corner
B838,H4_3x4_Blockhouse
B839,H4_4x3_Blockhouse
B840,H4_4x4_Blockhouse
B841,H5_1x1_Blockhouse
B842,H5_2x2_Blockhouse
B843,H5_2x2_Blockhouse_Corner
B844,H5_2x3_Blockhouse
B845,H5_2x3_Blockhouse_Corner
B846,H5_2x4_Blockhouse
B847,H5_3x2_Blockhouse
B848,H5_3x2_Blockhouse01
B849,H5_3x2_Blockhouse_Corner
B850,H5_3x3_Blockhouse
B851,H5_3x3_Blockhouse_Corner
B852,H5_3x4_Blockhouse
B853,H5_4x3_Blockhouse
B854,H5_4x4_Blockhouse
